,HIV_AIDS,Diarrheal_diseases,Lower_respiratory_infections,Nutritional_deficiencies,Neonatal_disorders,Protein_energy_malnutrition,Neoplasms,Alzheimer_s_disease_and_other_dementias,Cardiovascular_diseases,Tuberculosis,Diabetes_mellitus,Chronic_kidney_disease,Drowning,Meningitis,Parkinson_s_disease,Acute_hepatitis,Maternal_disorders,Malaria,Cirrhosis_and_other_chronic_liver_diseases,Drug_use_disorders,Alcohol_use_disorders,Digestive_diseases,Conflict_and_terrorism,Fire__heat__and_hot_substances,Self_harm,Poisonings,Road_injuries_,Exposure_to_forces_of_nature,Interpersonal_violence,Environmental_heat_and_cold_exposure,Chronic_respiratory_diseases
2010,4.0096426856926206e-05,-0.0002417157380202985,-0.00016707280260625174,-0.000236235913231351,-7.876160152901638e-05,-0.0002126543881682579,0.0001029993851443642,7.230185303948962e-05,6.064323469793815e-05,-0.00012395756339341553,2.9964745895127726e-05,5.410940116690394e-05,-5.1522746329471015e-05,-1.5861788414336464e-05,1.4531827020978312e-05,-1.49245749951896e-05,-1.1347786288627075e-05,4.518782286842306e-06,8.885447102924813e-06,-2.6795721860092185e-07,-2.7208518846993257e-08,3.6343829059975173e-06,-0.00015348552865209787,-2.4858921633388664e-06,-4.9250586497019005e-06,-1.8626156846225102e-07,2.5813371731372103e-06,0.0009520466644255543,-3.965578744240527e-06,-6.251724809351689e-07,-6.967194655004656e-06
2011,4.581920635944245e-06,-0.00027726867276272726,-0.00018422345376855947,-0.0002621826022087797,-0.00011240958964280805,-0.00023842262828151662,0.00017056135077000382,0.00012107170048982689,0.00011728674022250859,-0.0001646450893530065,5.277167781797998e-05,8.802205441298875e-05,-6.819077048197616e-05,-2.9822710213171734e-05,2.261006384184078e-05,-1.9412394204533582e-05,-1.5893705033242974e-05,-2.3043742142853563e-07,1.1665692617207624e-05,-7.006321085417992e-08,-3.555620531299212e-07,6.962488047492833e-06,-0.00010679744597024858,-3.4919948470294202e-06,-7.285495782337922e-06,-5.466207117578898e-07,1.0627928335648295e-06,-3.3643489081812406e-05,-5.360036831575431e-06,-6.655626307687526e-06,-2.845135976797873e-06
2012,-7.092388076875803e-06,-0.0003966856837724431,-0.0001956871298719352,-0.00032580345241898655,-0.00015964679052376304,-0.000302682010926062,0.00023559967889131596,0.0001759347590958799,0.00016982914982201485,-0.00018994900663134632,8.30660417026534e-05,0.00012058521856123387,-8.093845475202587e-05,-4.823264472513704e-05,3.1329008634951286e-05,-2.3392483910748558e-05,-2.5224380730732437e-05,-2.2594967067469853e-05,1.1857610907876903e-05,-8.680037142620573e-11,-9.61785183301576e-07,7.926599677489528e-06,-1.2979699703700943e-07,-4.929326513714388e-06,-1.2846683153055398e-05,-1.233558567433639e-06,1.74933318821847e-08,-0.00023772908122137845,-4.4200664362124766e-06,-7.2208034271983076e-06,-2.224546904868287e-06
2013,-5.031654569383258e-05,-0.0005065642372872629,-0.00020166524773847574,-0.0003604918302492579,-0.00021966118091660452,-0.00033527751835730297,0.0002935200703971276,0.00023450556235725308,0.00022657065719647578,-0.0002186662669351109,0.00011756515740836936,0.00015917882692862155,-0.00010403691429071752,-6.918991242858428e-05,4.2421966167464345e-05,-3.626866135897781e-05,-3.2181534855423456e-05,-7.694803613261878e-05,1.0444679592250933e-05,3.3797945333122534e-07,-1.4803774332472193e-06,8.852980142208555e-06,1.5881792008599064e-07,-5.758839941152216e-06,-2.216859708992089e-05,-2.030875307572706e-06,-2.3912183158814027e-06,-5.786626236905994e-05,-6.486702347648836e-06,-1.0774682386914595e-05,-3.3647975954611436e-07
2014,-0.00011061859827163952,-0.0006663330045162388,-0.00022523396955268166,-0.0003979345321829266,-0.0003185580136955608,-0.0003713550979717751,0.000369622306564581,0.00030265878818497034,0.0002804928486526137,-0.0002525616818160295,0.00015992460196148205,0.00019481806387961105,-0.0001291172069501803,-9.087875543779724e-05,5.3360653096225284e-05,-5.3295412761289744e-05,-4.822740822925663e-05,-0.0001210946724783332,8.950708354558685e-06,1.8565995314107672e-06,-1.7079617662520228e-06,8.75356281743872e-06,0.00012153249334294694,-8.042899041594415e-06,-3.351367483792099e-05,-3.5217653938613775e-06,-8.753998966978219e-06,-0.00026830456706848876,-9.038749643157124e-06,-1.2700920373634304e-05,-2.785207352484732e-09
2015,-0.0001877739560935982,-0.0008292942437265602,-0.00025742421117420445,-0.0004384876044983095,-0.00044131785324112195,-0.00040890089929674473,0.0004578363815399807,0.000368278941205349,0.0003745456967449885,-0.0003267357831222722,0.00020118075344346107,0.0002333157614432574,-0.00014877996839473477,-0.00012790133834192244,6.167693495858623e-05,-6.892491330111686e-05,-6.527177713724864e-05,-0.00017085486082777193,1.081126515341046e-05,5.177575885771329e-06,-1.867100456342044e-06,1.1983295384157479e-05,6.115513674923186e-05,-9.290900950967477e-06,-4.244031221087904e-05,-5.182768300462251e-06,-1.9151630723249148e-05,-0.00015025641869299621,-1.0024808701642162e-05,-8.721827481246379e-06,-1.7805646395482655e-08
2016,-0.00026268953205033584,-0.000978296275317445,-0.00030741443760094744,-0.00047707108526580605,-0.0006337357005488185,-0.0004452751461022071,0.0005607708311540643,0.00045549513841091965,0.00046116844938401923,-0.00038523402229118835,0.0002520655837226185,0.0002759354378303949,-0.00017166264098142858,-0.00015210148300545505,7.164386203680569e-05,-8.573755404642734e-05,-7.981793012213414e-05,-0.0002736156205475817,1.2977486506860739e-05,1.1740462427530478e-05,-1.9301033376247292e-06,1.55968708218905e-05,4.651899651273133e-05,-1.0798476286471594e-05,-4.8492984220489745e-05,-6.983450405678463e-06,-2.9087454110431673e-05,-0.0002479672804831818,-1.4966908676061362e-05,-1.7419660787235615e-05,1.1695657776928997e-07
2017,-0.0003846578931014895,-0.0010411960277349483,-0.00037532350542926647,-0.0005169858298770336,-0.0008598306384693128,-0.00048412274081244136,0.0006658605404643997,0.0005524465227906084,0.0005465989632803554,-0.0004461632421810151,0.0002997872241734989,0.0003013908246724353,-0.00020077340264230178,-0.00019229676351128762,8.17613801605909e-05,-9.715703462527813e-05,-9.506080678546862e-05,-0.0003677015576261939,1.6624536911374974e-05,1.7580676914824464e-05,-2.2864219800557817e-06,2.1091360974574008e-05,3.588647321582777e-06,-1.2759990978179715e-05,-5.403414789359299e-05,-9.544311614329923e-06,-3.876628092350004e-05,-0.00018013487334351026,-1.4221367530269915e-05,-2.126237089931293e-05,1.056108443224979e-06
2018,-0.0005621345723316891,-0.001280838657799886,-0.0004297829071348534,-0.0005858179767940241,-0.0011204994379020684,-0.0005502414553480892,0.000792132488337682,0.0006370115280045574,0.0006640685922023343,-0.000549477236729286,0.00034427844214271084,0.0003311575722092829,-0.0002178192348517837,-0.00023293940173202865,9.489363323252043e-05,-0.00010835995361237161,-0.00010535059530649381,-0.0003876884685359964,1.7134990670384623e-05,2.2131305636310825e-05,-2.0608513590027498e-06,2.1673606059078514e-05,-9.286274483025764e-06,-1.2866387582998216e-05,-5.319054655778487e-05,-1.1983752001834268e-05,-4.518875452726276e-05,-0.0002128681851283786,-1.6945760675204067e-05,-2.2939551314871053e-05,4.412943634687124e-06
2019,-0.0006937097624866249,-0.0015087213555670474,-0.00047892282211999416,-0.00064550370235313,-0.0013877767750076668,-0.0006064454276726579,0.0009364594979419973,0.0007080584802438366,0.0007778402755729084,-0.00066089356967329,0.00038687607701047176,0.00036162216790956324,-0.00024214066886742115,-0.0002667357195646049,0.00010648171255260575,-0.00012093805517080067,-0.00011831374250726595,-0.0003798262351901475,1.7262885816865048e-05,2.7236512235617077e-05,-2.058014187006509e-06,2.2328955271879673e-05,-0.00013005614194699032,-1.430509274781799e-05,-6.080856613022319e-05,-1.4707095729052025e-05,-5.8565911220981814e-05,-0.00030382674799311535,-2.7761300965218033e-05,-2.165802994481597e-05,8.786391370958963e-06
